seed method state_type dim total_cells perc_genes perc_cells flag ct_in_state adj.rsq max.rsq max.rsq_sub total_cells_can_occupy_state total_cells_occupy_state total_genes total_genes_in_state
1 PCA across_cts 10 20000 0.15 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.41365676243149 0.321712223292003 0.321712223292003 20004 14002 2527 379
10 PCA across_cts 10 20000 0.15 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.108050676572477 0.066801335990053 0.066801335990053 20004 6001 2527 379
7 PCA across_cts 10 20000 0.3 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.386670815723252 0.353257075781601 0.353257075781601 20004 3000 2527 758
10 PCA within_one_ct 10 20000 0.15 0.5 NA INH 0.376726111594256 0.188066667554185 0.0202450558525447 1939 969 2527 379
4 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.532198959233916 0.5308442269823 0.5308442269823 20004 6001 2527 758
9 PCA within_one_ct 10 20000 0.15 0.15 NA INH 0.112200902645309 0.0570112114344915 0.0119803573031946 1939 290 2527 379
5 PCA within_one_ct 10 20000 0.7 0.3 NA EX 0.662366475156486 0.430848708886339 0.796564436167488 2001 600 2527 1768
2 PCA within_one_ct 10 20000 0.7 0.3 NA ODC 0.739813570331828 0.624858533968837 0.750913657128936 12220 3666 2527 1768
8 PCA across_cts 10 20000 0.15 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.33310650917038 0.298868550040226 0.298868550040226 20004 14002 2527 379
2 PCA within_one_ct 10 20000 0.15 0.7 NA ODC 0.34691884732655 0.257366449481137 0.00140969585826488 12220 8554 2527 379
3 PCA across_cts 10 20000 0.15 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.0375996670071042 0.0157860317031232 0.0157860317031232 20004 6001 2527 379
5 PCA within_one_ct 10 20000 0.3 0.15 NA EX 0.108681589597487 0.051102292677154 0.040244206988206 2001 300 2527 758
6 PCA within_one_ct 10 20000 0.5 0.7 NA ODC 0.755260693652641 0.412704495997294 0.684585185585817 12220 8554 2527 1263
9 PCA across_cts 10 20000 0.15 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.0432148398478978 0.0416099997192653 0.0416099997192653 20004 6001 2527 379
3 PCA within_one_ct 10 20000 0.15 0.3 NA ODC 0.112385808641299 0.0836811473942255 0.0020468488353279 12220 3666 2527 379
10 PCA across_cts 10 20000 0.3 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.287703631466426 0.263542066620093 0.263542066620093 20004 3000 2527 758
2 PCA across_cts 10 20000 0.15 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.342588790219192 0.331299731085035 0.331299731085035 20004 14002 2527 379
5 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.533919090910789 0.531202911523713 0.531202911523713 20004 6001 2527 758
1 PCA within_one_ct 10 20000 0.5 0.5 NA ASC 0.381269761308981 0.169794174360416 0.0415718115722331 1515 757 2527 1263
10 PCA within_one_ct 10 20000 0.15 0.3 NA INH 0.2253635637949 0.113432125598291 0.00341122164854587 1939 581 2527 379
9 PCA within_one_ct 10 20000 0.3 0.7 NA INH 0.553352291375218 0.273075364981508 0.0299132398235754 1939 1357 2527 758
2 PCA across_cts 10 20000 0.3 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.614931333774224 0.614525923598048 0.614525923598048 20004 14002 2527 758
6 PCA across_cts 10 20000 0.15 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.00270845757519533 0.00171705350873519 0.00171705350873519 20004 6001 2527 379
6 PCA across_cts 10 20000 0.15 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.00717219808444491 0.00260156947641355 0.00260156947641355 20004 14002 2527 379
8 PCA within_one_ct 10 20000 0.3 0.7 NA MG 0.554136243611202 0.314666519383295 0.0089764494571755 1292 904 2527 758
2 PCA across_cts 10 20000 0.15 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.353575730407486 0.212307491065664 0.212307491065664 20004 6001 2527 379
2 PCA within_one_ct 10 20000 0.15 0.3 NA ODC 0.111716156458634 0.082096707223239 0.00246418502523896 12220 3666 2527 379
9 PCA within_one_ct 10 20000 0.3 0.3 NA INH 0.22771692148245 0.116135201985469 0.0178994389274612 1939 581 2527 758
4 PCA across_cts 10 20000 0.3 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.659791432191139 0.659404790722061 0.659404790722061 20004 10002 2527 758
9 PCA across_cts 10 20000 0.3 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.420727658538023 0.341181124268793 0.341181124268793 20004 3000 2527 758
5 PCA within_one_ct 10 20000 0.5 0.3 NA EX 0.583206707288881 0.244525587305164 0.698628284469088 2001 600 2527 1263
10 PCA within_one_ct 10 20000 0.3 0.5 NA INH 0.377949611833654 0.190618231593664 0.0333064474281602 1939 969 2527 758
5 PCA within_one_ct 10 20000 0.15 0.15 NA EX 0.115765647680358 0.0553606479469816 0.00221617068502157 2001 300 2527 379
1 PCA across_cts 10 20000 0.15 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.541078478401143 0.537835037047673 0.537835037047673 20004 10002 2527 379
5 PCA within_one_ct 10 20000 0.7 0.5 NA EX 0.779000422455881 0.390130428623724 0.839259256919692 2001 1000 2527 1768
8 PCA across_cts 10 20000 0.15 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.50418131530228 0.499443131125158 0.499443131125158 20004 10002 2527 379
2 PCA within_one_ct 10 20000 0.5 0.3 NA ODC 0.680193613456218 0.565583549502301 0.696494686053119 12220 3666 2527 1263
1 PCA within_one_ct 10 20000 0.15 0.7 NA ASC 0.553384135306644 0.239066320767918 0.00517235461427526 1515 1060 2527 379
10 PCA across_cts 10 20000 0.3 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.654123178871133 0.652057601946993 0.652057601946993 20004 10002 2527 758
7 PCA across_cts 10 20000 0.3 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.631040480396286 0.629527694922757 0.629527694922757 20004 10002 2527 758
9 PCA across_cts 10 20000 0.15 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.333861500582661 0.276500375723703 0.276500375723703 20004 14002 2527 379
6 PCA within_one_ct 10 20000 0.5 0.15 NA ODC 0.0544732953418363 0.0370844518544031 0.01974045586734 12220 1833 2527 1263
9 PCA within_one_ct 10 20000 0.5 0.7 NA INH 0.733285163923362 0.277301056864864 0.710625811103093 1939 1357 2527 1263
8 PCA across_cts 10 20000 0.3 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.430538112777394 0.320981947761031 0.320981947761031 20004 3000 2527 758
9 PCA within_one_ct 10 20000 0.15 0.5 NA INH 0.387641467228522 0.19414299515029 0.00531842938390814 1939 969 2527 379
8 PCA within_one_ct 10 20000 0.7 0.15 NA MG 0.11778480854483 0.0643349818788177 0.0190924034836807 1292 193 2527 1768
2 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.582919999113214 0.581770178942241 0.581770178942241 20004 6001 2527 758
7 PCA within_one_ct 10 20000 0.5 0.15 NA EX 0.110442458900001 0.0517704643947532 0.01870224739413 2001 300 2527 1263
5 PCA across_cts 10 20000 0.3 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.637083053294595 0.63663164515997 0.63663164515997 20004 14002 2527 758
8 PCA within_one_ct 10 20000 0.15 0.5 NA MG 0.390740619563189 0.211799774308622 0.00997404887343791 1292 646 2527 379
