cells genes PCA method user_time_seconds system_time_seconds elapsed_time_seconds raw_elapsed_time max_resident_set_size_kbytes avg_resident_set_sizes memory_used_bytes_R_python
20000 5000 Conditional Seurat 1427.13 4479.21 579.75 9:39.75 24648512 0 2052699192000000
200000 3000 Standard Seurat 6813.81 1744.40 654.08 10:54.08 85430816 0 11506883488000000
20000 5000 Conditional Seurat 1645.28 5017.11 522.81 8:42.81 24646880 0 2052699192000000
20000 3000 Conditional Seurat 965.81 2089.00 527.73 8:47.73 15606000 0 1338809160000000
25000 5000 Conditional Seurat 1654.09 4586.53 536.66 8:56.66 30244544 0 2514457624000000
100000 10000 Standard Seurat 7720.04 1435.78 671.32 11:11.32 34420468 0 18336513632000000
200000 5000 Standard Seurat 7790.75 1576.67 701.31 11:41.31 34639296 0 18634159008000000
25000 5000 Conditional Seurat 3304.17 21103.46 670.92 11:10.92 30114720 0 2514457624000000
100000 20000 Standard Seurat 3790.33 904.29 707.91 11:47.91 67926972 0 36131148040000000
25000 5000 Conditional Seurat 1775.77 5953.11 682.39 11:22.39 7523928 0 2514457624000000
100000 3000 Conditional Seurat 2587.22 5449.96 775.25 12:55.25 71579328 0 5859082096000000
20000 5000 Conditional Seurat 2527.85 2768.31 800.47 13:20.47 24646064 0 2052699192000000
200000 5000 Standard Seurat 14042.69 2171.74 965.39 16:05.39 138360192 0 18634159008000000
100000 5000 Standard Seurat 26561.75 2632.68 1012.86 16:52.86 17717736 0 9424538200000000
200000 5000 Standard Seurat 12507.11 2495.74 1077.01 17:57.01 34593300 0 18634159008000000
20000 10000 Conditional Seurat 4497.82 19368.93 1037.42 17:17.42 37802960 0 3839426488000000
25000 3000 Conditional Seurat 1475.06 3019.11 1057.39 17:37.39 4840940 0 1621365776000000
20000 10000 Conditional Seurat 3890.14 15370.77 1080.23 18:00.23 37794784 0 3839426488000000
200000 10000 Standard Seurat 18335.24 1707.98 1141.83 19:01.83 270742624 0 36460294064000000
20000 10000 Conditional Seurat 3417.02 14156.46 1156.55 19:16.55 37743264 0 3839426488000000
100000 20000 Standard Seurat 4114.24 953.48 1224.25 20:24.25 267582736 0 36131148040000000
200000 5000 Standard Seurat 13811.67 1703.50 1177.94 19:37.94 138359232 0 18634159008000000
200000 10000 Standard Seurat 15654.47 1467.42 1246.56 20:46.56 270854112 0 36460294064000000
20000 5000 Conditional Seurat 1654.31 4149.06 1155.64 19:15.64 24648592 0 2052699192000000
20000 10000 Conditional Seurat 3818.38 15084.22 1271.73 21:11.73 37791584 0 3839426488000000
200000 3000 Standard my_method 1590.52 60.40 1533.77 25:33.77 154647744 0 26545414144
200000 3000 Standard Seurat 37358.82 6216.90 1409.76 23:29.76 21381784 0 11506883488000000
