method data_param num_cells seed dim vargenes adj.rsq max.rsq
Cond_PCA int_ex 500 4 50 3000 0.320971774503918 0.0456880919692987
Cond_PCA int_ex 500 3 50 3000 0.339563617146871 0.0704270428353346
Cond_PCA int_ex 100 2 50 3000 0.407079453953617 0.0717401314183076
Cond_PCA int_ex 500 5 50 3000 0.343668947482977 0.100505884608252
Cond_PCA int_ex 500 2 50 3000 0.3558669996138 0.0418980619426652
Cond_PCA int_ex 100 1 50 3000 0.316275010884943 0.102964625589127
Cond_PCA int_ex 100 3 50 3000 0.321732999638799 0.0909087159420893
Cond_PCA int_ex 100 4 50 3000 0.270188874848662 0.0535851287587072
Cond_PCA int_ex 100 5 50 3000 0.236674579083712 0.148848254124181
Cond_PCA all_cell_types 1000 1 50 20000 0.176114188491698 0.0226445436772349
Cond_PCA all_cell_types 1000 4 50 20000 0.175739574569322 0.0532704661067941
Cond_PCA all_cell_types 1000 5 50 20000 0.17758848708092 0.0388087201107408
Cond_PCA int_ex 100 1 50 19425 0.269934943476975 0.153375278386835
Cond_PCA int_ex 100 4 50 19425 0.389447077526419 0.0825166600209983
Cond_PCA int_ex 100 2 50 19425 0.428348943168777 0.201054761640936
Cond_PCA int_ex 100 5 50 19425 0.384331523318259 0.0946585044472336
Cond_PCA int_ex 100 3 50 19425 0.509433650241532 0.112358605383664
Cond_PCA int_ex 500 1 50 19425 0.416349101743987 0.103065768702208
Cond_PCA int_ex 500 3 50 19425 0.438754704055447 0.124110189830533
Cond_PCA int_ex 500 5 50 19425 0.410783000192662 0.161371591042656
Cond_PCA int_ex 500 2 50 19425 0.465190963041973 0.117856853563369
Cond_PCA int_ex 500 4 50 19425 0.437810323686409 0.164686433787976
Cond_PCA int_ex 1000 1 50 19425 0.460172941364836 0.2061821707268
Cond_PCA int_ex 1000 3 50 19425 0.440567313888026 0.105936519016192
Cond_PCA int_ex 1000 5 50 19425 0.434363586546647 0.117582822737359
Cond_PCA int_ex 1000 4 50 19425 0.463321092682203 0.168494862758141
scaled_NMF int_ex 1000 1 50 3000 0.0614632123749312 0.037743109588972
scaled_NMF int_ex 1000 2 50 3000 0.0767347452558221 0.0419471151896188
scaled_NMF int_ex 1000 3 50 3000 0.0523744619966519 0.0326489506863648
scaled_NMF int_ex 500 1 50 3000 0.0203190787201923 0.0108902291736529
scaled_NMF int_ex 500 2 50 3000 0.0229624690417615 0.0166753243093709
scaled_NMF int_ex 100 1 50 3000 0.00726664766780927 0.0276876903834699
scaled_NMF int_ex 500 3 50 3000 0.059275408077907 0.0094588320741863
scaled_NMF int_ex 100 2 50 3000 -0.0856638730189381 0.0231769908187972
scaled_NMF int_ex 100 3 50 3000 0.0901021831494435 0.0398182211505921
scaled_NMF int_ex 100 4 50 3000 0.023111396015704 0.0309604245507076
scaled_NMF int_ex 100 5 50 3000 0.00688030730054323 0.0273450053262061
scaled_NMF int_ex 50 1 50 3000 0.69637420295597 0.0439957196051485
scaled_NMF int_ex 50 2 50 3000 0.363878142851361 0.0179780815170546
scaled_NMF int_ex 50 3 50 3000 -0.279457641145564 0.070613249838786
scaled_NMF int_ex 50 4 50 3000 -0.580710694759538 0.0581137657476317
scaled_NMF int_ex 50 5 50 3000 -0.29388004599539 0.0303053970005663
scaled_NMF int_ex 1000 5 50 3000 0.119513226729705 0.0982640872394566
scaled_NMF int_ex 500 5 50 3000 0.128265160860299 0.0481271009910894
scaled_NMF int_ex 500 4 50 3000 0.0458389631434203 0.0118400701001131
scaled_NMF int_ex 1000 4 50 3000 0.132767256421909 0.0345592266636572
NMF all_cell_types 1000 1 50 3000 0.055444826899641 0.0160774982230749
NMF all_cell_types 1000 2 50 3000 0.0728762326914638 0.0141234098342226
scaled_NMF int_ex 5000 3 50 3000 0.212706095695215 0.172692059560537
scaled_NMF int_ex 5000 1 50 3000 0.200352062722644 0.159494757889906
scaled_NMF int_ex 5000 2 50 3000 0.202899278539715 0.16313698646934
NMF all_cell_types 500 1 50 3000 0.0846974737083362 0.0326799714807109
NMF all_cell_types 500 2 50 3000 0.0320577110156884 0.0103769318192949
NMF all_cell_types 1000 3 50 3000 0.046141738911308 0.0102278252190098
NMF all_cell_types 1000 4 50 3000 0.0762799602353528 0.0238963301982883
NMF all_cell_types 100 1 50 3000 0.122880125743304 0.0588046936746135
NMF all_cell_types 1000 5 50 3000 0.074971722193374 0.0125271717714439
NMF all_cell_types 500 3 50 3000 0.0357105091725033 0.0195096935894737
NMF all_cell_types 100 2 50 3000 0.128450148733735 0.07685962675681
NMF all_cell_types 500 4 50 3000 0.0973362545759854 0.0243267582719038
NMF all_cell_types 100 3 50 3000 0.163587251689679 0.057325750507237
NMF all_cell_types 100 4 50 3000 0.237454731626248 0.061399503136383
NMF all_cell_types 50 1 50 3000 0.00267092036461747 0.08097811435492
NMF all_cell_types 100 5 50 3000 0.118709578919442 0.0360213077093716
NMF all_cell_types 50 2 50 3000 -0.273293227725092 0.0240217434512395
NMF all_cell_types 50 4 50 3000 0.335995430367787 0.0656275757651571
NMF all_cell_types 50 3 50 3000 0.544723311110905 0.0402612429683731
NMF all_cell_types 500 5 50 3000 0.0917363788991867 0.0170554847764776
NMF all_cell_types 50 5 50 3000 0.961143578174759 0.0438197104730875
scaled_NMF int_ex 5000 5 50 3000 0.244378328822501 0.195818301302898
